UGANDA,אוגנדה
SLOVAKIA,סלובקיה
SAMOA,סמואה
SAN MARINO,סן מרינו
SENEGAL,סנגל
ST. VINCENT & GRENADINES,סנט וינסנט והגרדינים
SAINT LUCIA,סנט לוסיה
SAINT KITTS & NEVIS,סנט קיטס ונוויס
SPAIN,ספרד
SERBIA,סרביה
SRI LANKA,סרי לנקה
OMAN,עומאן
IRAQ,עיראק
SAUDI ARABIA,ערב הסעודית
POLAND,פולין
PORTUGAL,פורטוגל
FIJI,פיג'י
FINLAND,פינלנד
PALAU,פלאו
PANAMA,פנמה
PAPUA NEW GUINEA,פפואה גינאה החדשה
PAKISTAN,פקיסטן
PARAGUAY,פרגוואי
PERU,פרו
CHAD,צ'אד
CHILE,צ'ילה
CZECH REPUBLIC,צ'כיה
FRANCE,צרפת
CUBA,קובה
COLOMBIA,קולומביה
CONGO,קונגו
REPUBLIC OF THE CONGO,קונגו
COSTA RICA,קוסטה ריקה
SOUTH KOREA,קוריאה הדרומית
NORTH KOREA,קוריאה הצפונית
KAZAKHSTAN,קזחסטן
QATAR,קטר
CAMBODIA,קמבודיה
CAMEROON,קמרון
CANADA,קנדה
KENYA,קניה
CYPRUS,קפריסין
CROATIA,קרואטיה
KIRIBATI,קריבטי
KYRGYZSTAN,קריגיזסטן
RWANDA,רואנדה
ROMANIA,רומניה
RUSSIA,רוסיה
SWEDEN,שוודיה
SWITZERLAND,שוויץ
THAILAND,תאילנד
TUNISIA,תוניסיה
YEMEN,תימן
