hebrew	english
גרוסמן	Grossman
גוטמן	Gutman
חיימוביץ'	Haimowitz
חלפון	Halfon
הלפר	Halper
חנן	Hanan
הנדלמן	Handelman
הררי	Harari
הראל	Harel
הרצוג	Hartzog
חסון	Hason
חסן	Hassan
חזן	Hazan
הנדל	Hendel
הרברט	Herbert
הרשקוביץ'	Hershkowitz
הירש	Hirsch
הורוביץ	Horowitz
יצחק	Isaac
ישראל	Israel
איסקוביץ'	Itzkowitz
קדר	Kadar
קדיש	Kadish
כהאן	Kahan
קמינסקי	Kaminsky
קפלן	Kaplan
קץ	Katz
קאופמן	Kaufmann
קליימן	Klayman
קלפר	Klepper
קופמן	Kofman
קופל	Kopel
קורח	Korach
קורן	Koren
קרייז	Kreis
לנסקי	Lansky
לפינסקי	Lapinsky
לנדו	Lando
לזר	Lazar
ליבלמן	Leibelman
לייבוביץ'	Leibovitz
ליינר	Leiner
לייזר	Leiser
לרמן	Lerman
לרנר	Lerner
לב	Lev
לבנברג	Levenberg
לוי	Levi
לוינסון	Levinson
ליברמן	Liberman
ליכטמן	Lichtman
ליפשיץ	Lifshitz
לינדל	Lindel
לידמן	Lindman
ליפקין	Lipkin
ליפקוביץ'	Lipkowitz
ליפשיץ	Lipschitz
ליטמן	Litman
לובין	Lubin
לובינסקי	Lubinsky
מיימון	Maimon
מלאכי	Malachi
מן	Man
מנדל	Mandel
מנדלבאום	Mandelbaum
מרגוליס	Margolis
מזור	Mazor
מאיר	Meir
מלמד	Melamed
מלמן	Melman
מנדל	Mendel
מנדלסון	Mendelson
מינדל	Mindel
מיטלמן	Mittelman
מוסקוביץ'	Moscowitz
נחמן	Nachman
נגר	Nagar
נעים	Naim
ניימן	Naiman
נתן	Nathan
נידלמן	Needleman
נימן	Neeman
נגרין	Negrin
נאומן	Neuman
נידרמן	Niederman
ניסן	Nissan
ניסנבאום	Nissenbaum
נולן	Nolen
נוביצקי	Novitsky
נודלמן	Nudelman
עופר	Offer
אוחיון	Ohayon
אורבך	Orbach
אוראל	Orel
אורן	Oren
אורנשטיין	Orenstein
אורמן	Orman
אורטמן	Ortman
אושר	Osher
עובדיה	Ovadia
עוזר	Ozer
פרל	Perel
פרלמן	Perelman
פרץ	Peretz
פרקל	Perkel
פיקל	Pickel
פינקס	Pinkas
פלוטקין	Plotkin
פולנסקי	Polansky
פולק	Pollack
פוליאק	Polyak
פופוב	Popov
פרייזר	Preiser
פרינץ	Prinz
רבין	Rabin
רבינוביץ'	Rabinovich
רפפורט	Rappoport
ריימן	Rayman
רייס	Reiss
רנדל	Rendel
רזניק	Reznik
רזניקוב	Reznikov
ריף	Riff
ריפקין	Rifkin
רינד	Rind
ריבקין	Rivkin
רויטמן	Roitman
רון	Ron
רונן	Ronen
רוזנבאום	Rosenbaum
רוזנבלום	Rosenblum
רוזנפלד	Rosenfeld
רוזנשטיין	Rosenstein
רוזמן	Rosman
רוטנברג	Rotenberg
רוטשילד	Rotchild
רובינסקי	Rovinsky
רויטמן	Roytman
רוזן	Rozen
רובן	Ruben
רובנשטיין	Rubenstein
רדינסקי	Redinsky
רוזין	Rusin
סעד	Saad
סהר	Saar
שבת	Sabat
סלמון	Salmon
סלומון	Salomon
סנדל	Sandel
ספיר	Sapir
ששון	Sasson
שכטר	Schachter
שאול	Schaul
שכטמן	Schechtman
שולברג	Schulberg
סגל	Segal
שפיר	Shafir
שפרן	Shafran
שלום	Shalom
שפירו	Shapiro
שאול	Shaul
שפר	Sheffer
שרמן	Sherman
שיפמן	Shifman
שיפרין	Shifrin
שמעון	Shimon
שוורץ	Shwartz
סלוצקי	Slutsky
סולומון	Solomon
טל	Tal
טננבאום	Tenenbaum
טילמן	Tilman
טרכטמן	Trachtman
אורבך	Urbach
ויינר	Vayner
וינר	Viner
וייסר	Wasser
ויינברג	Weinberg
ויינזנברג	Weisenberg
וייסמן	Weissman
וייס	Weiss
ווידרמן	Widerman
ויינר	Winer
וולברג	Wohlberg
וולף	Wolf
וולפמן	Wolfman
יפה	Yaffe
יעקובוב	Yakubov
ימין	Yamin
זק	Zack
זיידמן	Zeidman
זלמן	Zelman
זלניק	Zelnik
זלצר	Zeltser
זימן	Ziman
זיברמן	Ziberman
זינגר	Zinger
ציון	Zion
זיצקין	Ziskin
זיו	Ziv
צוקרברג	Zuckerberg
צוקרמן	Zuckerman
